epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,599.229,1.03932,0.96768,0.0135,0.84957,0.78152,0.81936,0.55825,1.40214,1.72633,0.02197,0.00155093,0.00155093,0.00155093
81,605.957,1.03362,0.99036,0.01306,0.84942,0.74511,0.81179,0.55331,1.46022,1.74754,0.02172,0.00154047,0.00154047,0.00154047
82,613.08,1.02804,0.94826,0.01287,0.88374,0.72609,0.79755,0.57961,1.36833,1.75647,0.02002,0.00152992,0.00152992,0.00152992
83,619.839,1.01362,1.00798,0.01284,0.85571,0.80525,0.83942,0.57336,1.43267,1.64095,0.02175,0.0015193,0.0015193,0.0015193
84,626.641,0.97879,0.9269,0.01251,0.84644,0.77641,0.81655,0.56858,1.42994,1.62896,0.02079,0.00150859,0.00150859,0.00150859
85,633.489,0.99597,0.92165,0.01254,0.88422,0.7751,0.82557,0.54372,1.46647,1.71629,0.02257,0.0014978,0.0014978,0.0014978
86,640.263,1.0469,1.02971,0.01367,0.88804,0.77649,0.82256,0.51808,1.50219,1.63354,0.02465,0.00148694,0.00148694,0.00148694
87,647.045,1.02384,0.93852,0.01343,0.85153,0.738,0.77242,0.48838,1.54116,1.86868,0.02688,0.001476,0.001476,0.001476
88,653.877,1.06501,0.95644,0.01416,0.85478,0.76507,0.80486,0.55227,1.44561,1.83827,0.02171,0.00146498,0.00146498,0.00146498
89,660.64,1.02207,0.97247,0.01323,0.85173,0.76669,0.79645,0.56826,1.39376,1.84835,0.02065,0.0014539,0.0014539,0.0014539
90,667.365,0.98831,0.98995,0.01287,0.84942,0.7914,0.82301,0.56147,1.39056,1.79616,0.02054,0.00144274,0.00144274,0.00144274
91,674.142,0.95759,0.82339,0.01253,0.91348,0.79475,0.84392,0.58388,1.39466,1.50489,0.02113,0.00143152,0.00143152,0.00143152
92,681.148,0.93082,0.84024,0.01204,0.891,0.76461,0.82999,0.58659,1.36187,1.79082,0.02004,0.00142023,0.00142023,0.00142023
93,687.993,0.96194,0.90421,0.01209,0.84436,0.74081,0.77298,0.55238,1.42343,2.05569,0.02105,0.00140888,0.00140888,0.00140888
94,694.76,0.99827,0.89037,0.01272,0.86166,0.77369,0.82128,0.58528,1.36112,1.68402,0.02003,0.00139746,0.00139746,0.00139746
95,701.559,0.96352,0.87877,0.0125,0.87715,0.74966,0.78909,0.51666,1.5196,1.81298,0.02457,0.00138598,0.00138598,0.00138598
96,708.335,0.96738,0.88309,0.01204,0.84968,0.7635,0.80203,0.55961,1.44778,1.7817,0.022,0.00137444,0.00137444,0.00137444
97,716.532,0.96591,0.88215,0.01223,0.8826,0.74811,0.8245,0.55623,1.39845,1.73138,0.02159,0.00136285,0.00136285,0.00136285
98,724.692,0.96683,0.86469,0.01206,0.89232,0.77106,0.84529,0.57957,1.36506,1.71918,0.02093,0.0013512,0.0013512,0.0013512
99,732.62,0.94342,0.80753,0.01205,0.84623,0.79411,0.83214,0.57958,1.38915,1.75494,0.02008,0.00133949,0.00133949,0.00133949
100,739.323,0.91364,0.77647,0.0117,0.84003,0.77331,0.79732,0.55035,1.42237,1.77178,0.02166,0.00132773,0.00132773,0.00132773
101,746.068,0.97422,0.9201,0.01256,0.85176,0.76477,0.81166,0.56929,1.38749,1.73628,0.02114,0.00131593,0.00131593,0.00131593
102,753.183,0.95615,0.89634,0.01193,0.87846,0.79733,0.84354,0.59571,1.34224,1.61934,0.0194,0.00130407,0.00130407,0.00130407
103,759.945,0.91605,0.8259,0.0114,0.84103,0.79635,0.83176,0.59558,1.33673,1.62904,0.01943,0.00129217,0.00129217,0.00129217
104,768.188,0.91999,0.8273,0.01088,0.8574,0.79029,0.81542,0.57707,1.38755,1.6406,0.02017,0.00128022,0.00128022,0.00128022
105,774.916,0.92756,0.85257,0.01151,0.88597,0.78693,0.82794,0.56094,1.43177,1.58654,0.02245,0.00126823,0.00126823,0.00126823
106,781.732,0.95503,0.86092,0.01233,0.90561,0.78474,0.8339,0.57774,1.38645,1.6525,0.02119,0.0012562,0.0012562,0.0012562
107,788.499,0.93461,0.86239,0.01212,0.87609,0.7937,0.83139,0.5763,1.37205,1.68156,0.02038,0.00124413,0.00124413,0.00124413
108,795.382,0.93908,0.84318,0.01236,0.8424,0.76411,0.81579,0.59021,1.33824,1.82095,0.01897,0.00123203,0.00123203,0.00123203
109,802.162,0.93294,0.83313,0.01198,0.87089,0.77936,0.82861,0.59729,1.3539,1.73773,0.01862,0.00121989,0.00121989,0.00121989
110,809.045,0.90503,0.82012,0.01097,0.90067,0.76017,0.83604,0.58931,1.30487,1.70052,0.01895,0.00120771,0.00120771,0.00120771
111,816.398,0.91839,0.84655,0.01181,0.90231,0.77346,0.84095,0.59787,1.34056,1.66426,0.01941,0.00119551,0.00119551,0.00119551
112,823.824,0.9408,0.86875,0.01199,0.89528,0.79897,0.85468,0.59788,1.3264,1.67668,0.01975,0.00118327,0.00118327,0.00118327
113,833.539,0.8924,0.78716,0.01112,0.87619,0.79067,0.83494,0.61266,1.32147,1.69649,0.01817,0.00117101,0.00117101,0.00117101
114,840.503,0.88176,0.77354,0.01125,0.85113,0.80133,0.83439,0.60181,1.33194,1.69601,0.01791,0.00115872,0.00115872,0.00115872
115,847.338,0.90523,0.82051,0.0114,0.86259,0.80743,0.8347,0.60616,1.33853,1.58589,0.01903,0.00114641,0.00114641,0.00114641
116,854.129,0.88543,0.78931,0.01129,0.84829,0.78057,0.81974,0.58947,1.29857,1.82463,0.01856,0.00113408,0.00113408,0.00113408
117,860.993,0.91731,0.86609,0.01112,0.89024,0.79908,0.84235,0.61073,1.30018,1.76248,0.0185,0.00112173,0.00112173,0.00112173
118,867.762,0.84482,0.76285,0.01089,0.89145,0.79762,0.84889,0.61211,1.33215,1.56853,0.01883,0.00110936,0.00110936,0.00110936
119,875.35,0.8971,0.75368,0.01096,0.8811,0.79443,0.85309,0.59069,1.36676,1.60391,0.02008,0.00109697,0.00109697,0.00109697
120,883.6,0.90102,0.79053,0.01131,0.86448,0.76253,0.81337,0.56387,1.38999,1.81205,0.0207,0.00108457,0.00108457,0.00108457
121,890.421,0.89255,0.76101,0.01098,0.86935,0.74459,0.81508,0.57856,1.34511,1.90113,0.01952,0.00107216,0.00107216,0.00107216
122,897.539,0.9155,0.8437,0.01087,0.90146,0.76866,0.85097,0.62089,1.28006,1.63589,0.01786,0.00105974,0.00105974,0.00105974
123,904.606,0.89456,0.80777,0.01133,0.87464,0.77338,0.8314,0.60579,1.31697,1.75299,0.01863,0.00104731,0.00104731,0.00104731
124,914.079,0.88353,0.78765,0.01103,0.86812,0.81715,0.85332,0.60273,1.30114,1.60431,0.01853,0.00103488,0.00103488,0.00103488
125,920.919,0.88368,0.81584,0.01111,0.89215,0.79172,0.85521,0.61154,1.3081,1.59151,0.01936,0.00102244,0.00102244,0.00102244
126,927.689,0.87152,0.76785,0.01088,0.85859,0.7993,0.84162,0.6029,1.35258,1.65385,0.02034,0.00101,0.00101,0.00101
127,934.326,0.8957,0.82697,0.01171,0.87962,0.78713,0.82859,0.59899,1.35549,1.62076,0.01956,0.00099756,0.00099756,0.00099756
128,941.129,0.89286,0.82157,0.01157,0.87199,0.78378,0.84066,0.57675,1.40065,1.62473,0.02154,0.000985121,0.000985121,0.000985121
129,947.947,0.86801,0.77471,0.01145,0.90968,0.76808,0.8369,0.59886,1.34623,1.61548,0.01961,0.000972687,0.000972687,0.000972687
130,956.307,0.83632,0.71264,0.01065,0.87806,0.78718,0.82555,0.57385,1.38167,1.76422,0.02093,0.000960258,0.000960258,0.000960258
131,963.157,0.85358,0.72519,0.0109,0.86588,0.80172,0.83882,0.60837,1.32157,1.64859,0.01863,0.000947837,0.000947837,0.000947837
132,970.215,0.87818,0.76764,0.01098,0.85495,0.78573,0.84452,0.57597,1.39985,1.63535,0.02198,0.000935426,0.000935426,0.000935426
