epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,596.147,0.6884,0.31759,0.00446,0.79729,0.80665,0.76011,0.55418,1.0556,0.95594,0.00676,0.000360276,0.000360276,0.000360276
109,601.873,0.70398,0.32473,0.00467,0.80176,0.77459,0.76446,0.5547,1.08071,0.94855,0.00665,0.000352037,0.000352037,0.000352037
110,607.155,0.69484,0.32536,0.00463,0.79832,0.78475,0.76576,0.55986,1.07294,0.93315,0.00663,0.000343844,0.000343844,0.000343844
111,612.458,0.69608,0.30893,0.00457,0.8176,0.8,0.76633,0.55887,1.04688,0.93245,0.00638,0.0003357,0.0003357,0.0003357
112,618.034,0.67636,0.30479,0.00438,0.82916,0.75254,0.75981,0.55616,1.04406,0.92901,0.00645,0.000327608,0.000327608,0.000327608
113,624.788,0.68937,0.31371,0.00458,0.83202,0.75254,0.76354,0.55485,1.0683,0.89851,0.00661,0.00031957,0.00031957,0.00031957
114,630.057,0.64618,0.29976,0.00423,0.83387,0.74015,0.76813,0.56744,1.05827,0.91225,0.00658,0.000311588,0.000311588,0.000311588
115,635.434,0.65979,0.29602,0.00443,0.8498,0.75756,0.76825,0.55987,1.06076,0.94561,0.00648,0.000303665,0.000303665,0.000303665
116,640.742,0.63189,0.28346,0.00412,0.84041,0.74973,0.75906,0.55468,1.055,0.96099,0.00664,0.000295804,0.000295804,0.000295804
117,646.08,0.63473,0.27926,0.00412,0.81268,0.78475,0.76777,0.55971,1.05437,0.96096,0.00648,0.000288006,0.000288006,0.000288006
118,651.365,0.64055,0.26967,0.00423,0.80414,0.79153,0.75989,0.54664,1.08945,0.92984,0.00678,0.000280275,0.000280275,0.000280275
119,656.608,0.65478,0.30645,0.00428,0.82903,0.77797,0.76756,0.56039,1.08627,0.90597,0.00671,0.000272612,0.000272612,0.000272612
120,661.838,0.65707,0.30572,0.00433,0.80918,0.79062,0.76495,0.55637,1.0626,0.93826,0.00654,0.000265019,0.000265019,0.000265019
121,667.145,0.65006,0.31175,0.00423,0.78765,0.78305,0.76308,0.54993,1.05281,0.95906,0.00645,0.0002575,0.0002575,0.0002575
122,672.655,0.65959,0.30685,0.00424,0.84405,0.74915,0.76431,0.56289,1.0615,0.9645,0.00661,0.000250056,0.000250056,0.000250056
123,677.964,0.63393,0.29368,0.00419,0.83205,0.7389,0.76371,0.56174,1.05898,0.97192,0.00648,0.00024269,0.00024269,0.00024269
124,683.264,0.6448,0.30276,0.00418,0.82835,0.75593,0.77863,0.57189,1.0566,0.92768,0.00659,0.000235404,0.000235404,0.000235404
125,688.71,0.63515,0.28989,0.00408,0.82739,0.75424,0.75806,0.566,1.03035,0.95017,0.00649,0.0002282,0.0002282,0.0002282
126,694.032,0.60183,0.27818,0.00384,0.79034,0.79661,0.76103,0.56288,1.02037,0.95213,0.00637,0.00022108,0.00022108,0.00022108
127,700.098,0.61169,0.27517,0.00404,0.80048,0.78201,0.76194,0.55451,1.05458,0.95668,0.00649,0.000214046,0.000214046,0.000214046
128,705.404,0.61518,0.28166,0.00396,0.83516,0.74708,0.75093,0.54888,1.05629,0.99812,0.00654,0.000207102,0.000207102,0.000207102
129,710.66,0.6118,0.28309,0.00386,0.81926,0.76102,0.7508,0.55438,1.04308,0.99254,0.00653,0.000200248,0.000200248,0.000200248
130,715.92,0.61495,0.27281,0.00395,0.83716,0.75254,0.75648,0.55181,1.04909,0.9981,0.00653,0.000193486,0.000193486,0.000193486
131,721.125,0.60736,0.27775,0.00406,0.83277,0.75121,0.75403,0.55523,1.03377,0.99035,0.00637,0.00018682,0.00018682,0.00018682
